Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  299  ?b   => ?a  93  ?b	0.191304348	0.000129119	0.35483871	22	170386	62	?a
?a  918  ?b   => ?a  93  ?b	0.034782609	0.000195925	0.25	4	20416	16	?a
?a  270  ?b   => ?a  93  ?b	0.286956522	0.000080696	0.358695652	33	408944	92	?a
?a  613  ?b   => ?a  805  ?b	0.036363636	0.000035921	0.533333333	8	222712	15	?a
?a  459  ?b   => ?a  805  ?b	0.481818182	0.001084277	0.504761905	106	97761	210	?a
?b  177  ?a   => ?a  210  ?b	0.091254753	0.12	0.75	24	200	32	?b
?a  265  ?b   => ?a  210  ?b	0.019011407	0.000039842	0.714285714	5	125497	7	?b
?b  564  ?a   => ?a  564  ?b	0.012195122	0.012195122	0.235294118	4	328	17	?b
?a  44  ?b   => ?a  564  ?b	0.015243902	0.000554201	0.294117647	5	9022	17	?b
?a  214  ?b   => ?a  564  ?b	0.045731707	0.021645022	0.833333333	15	693	18	?b
?a  799  ?b   => ?a  564  ?b	0.024390244	0.002554278	0.5	8	3132	16	?b
?a  78  ?b   => ?a  564  ?b	0.027439024	0.000297708	0.123287671	9	30231	73	?b
?b  764  ?a   => ?a  564  ?b	0.051829268	0.000249688	0.53125	17	68085	32	?b
?b  427  ?a   => ?a  427  ?b	0.057142857	0.057142857	0.41025641	16	280	39	?b
?a  17  ?b   => ?a  560  ?b	0.012396694	0.001912046	1	3	1569	3	?a
?a  73  ?b   => ?a  1292  ?b	0.573991031	0.003556939	0.699453552	128	35986	183	?a
?a  44  ?b   => ?a  560  ?b	0.020661157	0.000554201	0.5	5	9022	10	?a
?a  112  ?b   => ?a  11  ?b	0.011037528	0.00007117	0.357142857	5	70254	14	?a
?a  78  ?b   => ?a  11  ?b	0.655629139	0.009824352	0.865889213	297	30231	343	?a
?a  132  ?b   => ?a  656  ?b	0.017605634	0.003671072	1	10	2724	10	?b
?b  67  ?a   => ?a  1166  ?b	0.157575758	0.012458074	1	26	2087	26	?a
?b  526  ?a   => ?a  1166  ?b	0.03030303	0.128205128	1	5	39	5	?a
?b  532  ?a   => ?a  713  ?b	0.095323741	0.098513011	0.582417582	53	538	91	?b
?a  1287  ?b   => ?a  243  ?b	0.030864198	0.005694761	0.217391304	5	878	23	?a
?a  137  ?b   => ?a  243  ?b	0.012345679	0.001828154	0.333333333	2	1094	6	?a
?a  265  ?b   => ?a  579  ?b	0.421203438	0.001171343	0.967105263	147	125497	152	?b
?b  112  ?a   => ?a  579  ?b	0.028653295	0.000142341	0.769230769	10	70254	13	?b
?a  112  ?b   => ?a  579  ?b	0.154727794	0.00076864	0.313953488	54	70254	172	?b
?b  579  ?a   => ?a  579  ?b	0.091690544	0.091690544	0.96969697	32	349	33	?b
?b  668  ?a   => ?a  670  ?b	0.039930556	0.196581197	1	69	351	69	?b
?b  1099  ?a   => ?a  263  ?b	0.175675676	0.001281462	0.906976744	39	30434	43	?b
?a  214  ?b   => ?a  17  ?b	0.010197578	0.023088023	0.8	16	693	20	?b
?a  44  ?b   => ?a  17  ?b	0.043339707	0.007537131	0.723404255	68	9022	94	?b
?a  78  ?b   => ?a  17  ?b	0.010834927	0.000562337	0.377777778	17	30231	45	?b
?b  40  ?a   => ?a  17  ?b	0.030592734	0.000249445	0.206896552	48	192427	232	?b
?a  799  ?b   => ?a  17  ?b	0.016571064	0.008301405	0.604651163	26	3132	43	?b
?a  165  ?b   => ?a  127  ?b	0.028037383	0.044444444	0.375	6	135	16	?a
?a  130  ?b   => ?a  121  ?b	0.049436796	0.04682869	0.395	79	1687	200	?a
?a  229  ?b   => ?a  221  ?b	0.272266065	0.02844523	0.537263626	483	16980	899	?a
?a  1  ?b   => ?a  366  ?b	0.022893773	0.00130637	0.403225806	25	19137	62	?b
?b  365  ?a   => ?a  366  ?b	0.243589744	0.301929625	0.977941176	266	881	272	?b
?a  613  ?b   => ?a  366  ?b	0.035714286	0.000175114	0.130434783	39	222712	299	?b
?a  88  ?b   => ?a  345  ?b	0.022857143	0.000036849	0.508474576	60	1628285	118	?a
?b  496  ?a   => ?a  345  ?b	0.285333333	0.104535939	0.781021898	749	7165	959	?a
?b  872  ?a   => ?a  872  ?b	0.092485549	0.092485549	0.106666667	32	346	300	?b
?a  1041  ?b   => ?a  433  ?b	0.044776119	0.002752294	1	6	2180	6	?b
?a  1385  ?b   => ?a  433  ?b	0.02238806	0.001148545	0.75	3	2612	4	?b
?b  431  ?a   => ?a  430  ?b	0.228346457	0.21969697	0.966666667	29	132	30	?b
?b  430  ?a   => ?a  431  ?b	0.21969697	0.228346457	0.90625	29	127	32	?b
?a  564  ?b   => ?a  214  ?b	0.021645022	0.045731707	0.833333333	15	328	18	?b
?b  214  ?a   => ?a  214  ?b	0.028860029	0.028860029	0.952380952	20	693	21	?b
?a  17  ?b   => ?a  214  ?b	0.023088023	0.010197578	0.8	16	1569	20	?b
?a  799  ?b   => ?a  214  ?b	0.044733045	0.009897829	0.815789474	31	3132	38	?b
?a  78  ?b   => ?a  214  ?b	0.038961039	0.000893123	0.675	27	30231	40	?b
?a  44  ?b   => ?a  214  ?b	0.111111111	0.008534693	0.827956989	77	9022	93	?b
?b  40  ?a   => ?a  214  ?b	0.067821068	0.000244248	0.47	47	192427	100	?b
?b  8  ?a   => ?a  799  ?b	0.033844189	0.001755403	0.244803695	106	60385	433	?b
?b  764  ?a   => ?a  799  ?b	0.022988506	0.001057502	0.212389381	72	68085	339	?b
?b  40  ?a   => ?a  799  ?b	0.010217114	0.000166297	0.121673004	32	192427	263	?b
?a  44  ?b   => ?a  799  ?b	0.045657727	0.015850144	0.671361502	143	9022	213	?b
?b  228  ?a   => ?a  227  ?b	0.536824877	0.04458339	1	328	7357	328	?a
?a  911  ?b   => ?a  903  ?b	0.019230769	0.428571429	1	3	7	3	?a
?a  205  ?b   => ?a  903  ?b	0.012820513	0.074074074	1	2	27	2	?a
?a  509  ?b   => ?a  227  ?b	0.011456628	0.000436001	0.107692308	7	16055	65	?a
?a  112  ?b   => ?a  903  ?b	0.025641026	0.000056936	0.307692308	4	70254	13	?a
?a  149  ?b   => ?a  1385  ?b	0.072741194	0.1842871	0.892018779	190	1031	213	?b
?a  44  ?b   => ?a  1385  ?b	0.011485452	0.003325205	0.4	30	9022	75	?b
?a  73  ?b   => ?a  1385  ?b	0.025650842	0.001861835	0.291304348	67	35986	230	?b
?b  40  ?a   => ?a  946  ?b	0.021582734	0.00001559	0.107142857	3	192427	28	?b
?a  44  ?b   => ?a  946  ?b	0.071942446	0.001108402	0.909090909	10	9022	11	?b
?a  1385  ?b   => ?a  946  ?b	0.057553957	0.003062787	0.888888889	8	2612	9	?b
?a  73  ?b   => ?a  946  ?b	0.021582734	0.000083366	0.5	3	35986	6	?b
?a  78  ?b   => ?a  946  ?b	0.014388489	0.000066157	0.666666667	2	30231	3	?b
?a  216  ?b   => ?a  946  ?b	0.014388489	0.000018999	0.4	2	105271	5	?b
?a  1233  ?b   => ?a  703  ?b	0.033114558	0.015955153	0.909836066	111	6957	122	?a
?a  112  ?b   => ?a  703  ?b	0.096658711	0.004611837	0.491654021	324	70254	659	?a
?a  948  ?b   => ?a  137  ?b	0.108775137	0.003550755	0.117010816	119	33514	1017	?a
?a  943  ?b   => ?a  137  ?b	0.090493601	0.001981347	0.1140553	99	49966	868	?a
?a  216  ?b   => ?a  137  ?b	0.043875686	0.000455966	0.457142857	48	105271	105	?a
?a  193  ?b   => ?a  137  ?b	0.196526508	0.007734091	0.270100503	215	27799	796	?a
?a  725  ?b   => ?a  782  ?b	0.017142857	0.011235955	1	3	267	3	?b
?b  782  ?a   => ?a  782  ?b	0.011428571	0.011428571	0.1	2	175	20	?b
?a  879  ?b   => ?a  782  ?b	0.011428571	0.00000816	0.333333333	2	245099	6	?b
?a  721  ?b   => ?a  722  ?b	0.02054292	0.066350711	0.35443038	28	422	79	?b
?a  719  ?b   => ?a  722  ?b	0.099046222	0.078993563	0.344387755	135	1709	392	?b
?a  100  ?b   => ?a  722  ?b	0.126192223	0.004092315	0.134375	172	42030	1280	?b
?a  600  ?b   => ?a  722  ?b	0.081438004	0.048662867	0.227926078	111	2281	487	?b
?a  343  ?b   => ?a  722  ?b	0.181217902	0.019961209	0.114830311	247	12374	2151	?b
?a  1103  ?b   => ?a  722  ?b	0.134262656	0.008286918	0.182452642	183	22083	1003	?b
?b  1141  ?a   => ?a  1013  ?b	0.400136643	0.302149613	1	1757	5815	1757	?a
?a  613  ?b   => ?a  1013  ?b	0.028239581	0.000556773	0.234848485	124	222712	528	?a
?a  134  ?b   => ?a  144  ?b	0.464195663	0.402492348	0.490410229	1841	4574	3754	?a
